"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"http://chanakyanetstudy.com/wp-content/uploads/flash/MM_Demo_(History)/Page_05.swf","application/x-shockwave-flash","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","1492506","0","0.000","2","","2","1","14.290","0","0","0","0","","","","","","0.554","Sun, 31 Jan 2016 08:53:19 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/MM_Demo_(History)/Page_05.swf"
"http://chanakyanetstudy.com/wp-content/uploads/flash/MM_Demo_(Science)/Page_08.swf","application/x-shockwave-flash","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3989397","0","0.000","2","","2","1","14.290","0","0","0","0","","","","","","0.536","Sun, 31 Jan 2016 08:53:12 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/MM_Demo_(Science)/Page_08.swf"
"http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Science)/Physics/Page_02.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","23206","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.574","Fri, 09 Aug 2013 15:22:08 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Science)/Physics/Page_02.jpg"
"http://chanakyanetstudy.com/wp-content/uploads/flash/MM_Demo_(Science)/Page_05.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","19952","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.558","Sun, 31 Jan 2016 08:53:11 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/MM_Demo_(Science)/Page_05.jpg"
"http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Science)/Physics/Page_08.swf","application/x-shockwave-flash","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","1405297","0","0.000","2","","2","1","14.290","0","0","0","0","","","","","","0.573","Fri, 09 Aug 2013 15:23:14 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Science)/Physics/Page_08.swf"
"http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(History)/Page_1.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","26442","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.586","Sun, 31 Jan 2016 08:53:13 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(History)/Page_1.jpg"
"http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Geography)/Page_06.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","25930","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.514","Sun, 31 Jan 2016 08:53:10 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Geography)/Page_06.jpg"
"http://chanakyanetstudy.com/wp-content/uploads/flash/MM_Demo_(Science)/Page_17.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","19840","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.531","Sun, 31 Jan 2016 08:53:11 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/MM_Demo_(Science)/Page_17.jpg"
"http://chanakyanetstudy.com/wp-content/uploads/flash/MM_Demo_(Science)/Page_01.swf","application/x-shockwave-flash","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","4442754","0","0.000","2","","2","1","14.290","0","0","0","0","","","","","","0.907","Sun, 31 Jan 2016 08:53:12 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/MM_Demo_(Science)/Page_01.swf"
"http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Math)/Geom/Page_05.swf","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","0","0","0.000","2","","2","1","14.290","0","0","0","0","","","","","","1.512","","","","http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Math)/Geom/Page_05.swf"
"http://chanakyanetstudy.com/wp-content/uploads/flash/MM_Demo_(Science)/Page_14.swf","application/x-shockwave-flash","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","4627816","0","0.000","2","","2","1","14.290","0","0","0","0","","","","","","1.886","Sun, 31 Jan 2016 08:53:13 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/MM_Demo_(Science)/Page_14.swf"
"http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Math)/Algebra/Page_12.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","22085","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","2.274","Fri, 09 Aug 2013 15:10:09 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Math)/Algebra/Page_12.jpg"
"http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Geography)/Page_03.swf","application/x-shockwave-flash","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","6451532","0","0.000","2","","2","1","14.290","0","0","0","0","","","","","","2.228","Sun, 31 Jan 2016 08:53:11 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Geography)/Page_03.swf"
"http://chanakyanetstudy.com/wp-content/plugins/pricing-table-by-supsystic/js/core.js?ver=1.4.2","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3964","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","1.684","Tue, 18 Apr 2017 12:00:42 GMT","","","http://chanakyanetstudy.com/wp-content/plugins/pricing-table-by-supsystic/js/core.js?ver=1.4.2"
"http://chanakyanetstudy.com/wp-content/uploads/flash/MM_Demo_(Geography)/Page_05.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","25655","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","1.102","Sun, 31 Jan 2016 08:53:14 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/MM_Demo_(Geography)/Page_05.jpg"
"http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Science)/Biology/Page_24.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","24626","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.741","Fri, 09 Aug 2013 15:17:00 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Science)/Biology/Page_24.jpg"
"http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Science)/Physics/Page_06.swf","application/x-shockwave-flash","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3678553","0","0.000","2","","2","1","14.290","0","0","0","0","","","","","","0.530","Fri, 09 Aug 2013 15:24:31 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Science)/Physics/Page_06.swf"
"http://chanakyanetstudy.com/wp-content/uploads/flash/MM_Demo_(History)/Page_02.swf","application/x-shockwave-flash","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","3014656","0","0.000","2","","2","1","14.290","0","0","0","0","","","","","","0.535","Sun, 31 Jan 2016 08:53:19 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/MM_Demo_(History)/Page_02.swf"
"http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(History)/Page_1.swf","text/html; charset=UTF-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","0","0","0.000","2","","4","1","14.290","0","0","0","0","","","","","","0.814","","","","http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(History)/Page_1.swf"
"http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Science)/Biology/Page_23.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","29997","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.814","Fri, 09 Aug 2013 15:16:31 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Science)/Biology/Page_23.jpg"
"http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Math)/Geom/Page_15.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","22024","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.806","Fri, 09 Aug 2013 15:16:11 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/EM_Demo_(Math)/Geom/Page_15.jpg"
"http://chanakyanetstudy.com/wp-content/uploads/flash/image/live-video.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","19818","0","0.000","2","","0","0","0.000","0","0","0","0","","","","","","0.625","Mon, 14 Nov 2016 18:28:25 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/image/live-video.png"
"http://chanakyanetstudy.com/wp-content/uploads/flash/MM_Demo_(Science)/Page_04.swf","application/x-shockwave-flash","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","1694140","0","0.000","2","","2","1","14.290","0","0","0","0","","","","","","0.572","Sun, 31 Jan 2016 08:53:12 GMT","","","http://chanakyanetstudy.com/wp-content/uploads/flash/MM_Demo_(Science)/Page_04.swf"
