"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://www.midbrainacademy.in/Quantum-Speed-Reading.html","text/html","200","OK","Indexable","","QSR franchise | Training | Quantum Speed Reading Franchise In India","67","614","Quantum Speed Reading Franchise - Looking for quantum QSR franchise cost in India from best training institute. Call 9256893044 Rajmin Academy for QSR Franchise.","161","1063","quantum speed reading, speed reading, follow-up, courses, enhancement, program, ear,eyes,brain,mouth india,ludhian,punjab","121","Quantum Speed Reading","21","There are four major steps to learn Speed reading are as mentioned below","72","What is quantum speed reading course in India?","46","Index,Dofollow","","","","","","","","47892","1133","19.901","1","","209","72","39.560","92","60","7","7","","","","","52d28c21318deae7ab20373aecd150","0.970","Thu, 12 Mar 2020 11:57:46 GMT","","","https://www.midbrainacademy.in/Quantum-Speed-Reading.html"
"https://www.midbrainacademy.in/Franchise-Query-Form.html","text/html","200","OK","Non-Indexable","noindex","Welcome to Mid Brain Academy","28","282","","0","0","","0","Franchise Query Form","20","","0","","0","noindex, nofollow","","","","","","","","41814","113","8.452","1","","10","3","1.650","77","62","5","5","","","","","1bddacca4682cbe9c4301ad5ce1e2be8","0.940","Wed, 11 Mar 2020 02:06:42 GMT","","","https://www.midbrainacademy.in/Franchise-Query-Form.html"
"https://www.midbrainacademy.in/js/blog.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","4412","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.897","Wed, 11 Mar 2020 02:06:42 GMT","","","https://www.midbrainacademy.in/js/blog.js"
"https://www.midbrainacademy.in/Franchise-of-Midbrain-Activation-in-India.html","text/html","200","OK","Indexable","","Midbrain Franchise Cost | Midbrain Activation Franchise Lowest Price","68","608","Midbrain Franchise Cost - Looking for Midbrain activation franchise in India @ Lowest price. Visit & get best study material at affordable Fees in Franchise.","157","972","midbrain activation Franchise Fees, Midbrain Activation Franchise in India, Midbrain Activation Franchise in Punjab,Midbrain Activation Franchise in Ludhiana","157","Midbrain Activation Franchise Opportunities","43","Are u also looking for Business Opportunity? Then you can take up our franchise.","80","","0","index, dofollow","","","","","","","","43965","408","12.169","1","","146","72","39.560","92","60","5","5","","","","","64fe2ca0458d70b8c4d6d1a34987c162","0.941","Wed, 11 Mar 2020 02:06:42 GMT","","","https://www.midbrainacademy.in/Franchise-of-Midbrain-Activation-in-India.html"
"https://www.midbrainacademy.in/css/layerslider.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","3001","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.998","Wed, 11 Mar 2020 02:06:42 GMT","","","https://www.midbrainacademy.in/css/layerslider.css"
"https://www.midbrainacademy.in/images/banner-free_slider.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","63547","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.927","Wed, 11 Mar 2020 02:06:42 GMT","","","https://www.midbrainacademy.in/images/banner-free_slider.jpg"
"https://www.midbrainacademy.in/css/flexslider.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","1597","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","1.000","Wed, 11 Mar 2020 02:06:42 GMT","","","https://www.midbrainacademy.in/css/flexslider.css"
"https://www.midbrainacademy.in/js/zap.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","0","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.928","Wed, 11 Mar 2020 02:06:42 GMT","","","https://www.midbrainacademy.in/js/zap.js"
"https://www.midbrainacademy.in/css/captions.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","957","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.967","Wed, 11 Mar 2020 02:06:42 GMT","","","https://www.midbrainacademy.in/css/captions.css"
"https://www.midbrainacademy.in/midbrain-activation-franchise-in-jabalpur.html","text/html","200","OK","Indexable","","Midbrain Activation in Jabalpur - RAJMIN ACADEMY","48","462","Midbrain Activation in Jabalpur, Call us at +91-92568-93044. Are you looking for the best midbrain activation franchise in Jabalpur? If yes, then Rajmin Academy can provide you what you are lookinf for.","202","1266","Midbrain Activation in Jabalpur, Midbrain franchise Midbrain Jabalpur, Jabalpur Midbrain academy, Midbrain training Jabalpur","124","MIDBRAIN ACTIVATION FRANCHISE IN JABALPUR","41","MIDBRAIN ACTIVATION FRANCHISE IN Jabalpur","41","MIDBRAIN ACTIVATION METHODS INCLUDED IN OUR FRANCHISE PROGRAM","61","index, dofollow","","","","","","","","44149","738","16.415","1","","58","54","29.670","91","60","5","5","","","","","94be9943a0e684ffaafceaf7ca939c4","0.934","Sun, 15 Mar 2020 14:26:15 GMT","","","https://www.midbrainacademy.in/midbrain-activation-franchise-in-jabalpur.html"
"https://www.midbrainacademy.in/midbrain-activation.html","text/html","200","OK","Indexable","","Welcome to Mid Brain Academy","28","282","","0","0","","0","MidBrain Activation","19","Midbrain Activation Basic Level Course:(Sensory/cognitive System)","65","What are the benefits of Midbrain Activation level courses?","59","","","","","","","","","49550","818","15.813","1","","76","72","39.560","91","62","5","5","","","","","a67b890c0a300b43245f1785aa163763","0.990","Wed, 15 Apr 2020 10:47:54 GMT","","","https://www.midbrainacademy.in/midbrain-activation.html"
"https://www.midbrainacademy.in/css/prettyPhoto.css","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","3951","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.986","Wed, 11 Mar 2020 02:06:42 GMT","","","https://www.midbrainacademy.in/css/prettyPhoto.css"
"https://www.midbrainacademy.in/midbrain-activation-franchise-in-bhopal.html","text/html","200","OK","Indexable","","Midbrain Activation in Bhopal - RAJMIN ACADEMY","46","447","Midbrain Activation in Bhopal, Call us at +91-92568-93044. Are you looking for the best midbrain activation franchise in Bhopal? If yes, then Rajmin Academy can provide you what you are lookinf for.","198","1246","Midbrain Activation in Bhopal, Midbrain franchise Midbrain Bhopal, Bhopal Midbrain academy, Midbrain training Bhopal","116","MIDBRAIN ACTIVATION FRANCHISE IN BHOPAL","39","MIDBRAIN ACTIVATION FRANCHISE IN Bhopal","39","MIDBRAIN ACTIVATION METHODS INCLUDED IN OUR FRANCHISE PROGRAM","61","index, dofollow","","","","","","","","44111","738","16.384","1","","58","54","29.670","91","60","5","5","","","","","2546dfb9ff01ad32987b3b3bedcfb037","0.994","Sun, 15 Mar 2020 14:23:44 GMT","","","https://www.midbrainacademy.in/midbrain-activation-franchise-in-bhopal.html"
"https://www.midbrainacademy.in/what-is-midbrain-activation.html","text/html","200","OK","Indexable","","What is Midbrain Activation","27","237","Interested to know the all the information related to midbrain activation and its techniques then you can get it from here.","123","750","","0","The good that lies behind Midbrain Activation","45","The good that lies behind Midbrain Activation","45","MidBrainAcademy","15","index, dofollow","","","","","","","","43788","728","16.136","1","","76","72","39.560","91","60","5","5","","","","","90215dea50cd22f620ff19b5e267c5e4","1.001","Wed, 11 Mar 2020 02:06:41 GMT","","","https://www.midbrainacademy.in/what-is-midbrain-activation.html"
"https://www.midbrainacademy.in/images/Franchise-Banner.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","30871","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","1.000","Wed, 11 Mar 2020 02:06:42 GMT","","","https://www.midbrainacademy.in/images/Franchise-Banner.jpg"
"https://www.midbrainacademy.in/js/jquery.themepunch.revolution.min.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","0","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.937","Wed, 11 Mar 2020 02:06:42 GMT","","","https://www.midbrainacademy.in/js/jquery.themepunch.revolution.min.js"
"https://www.midbrainacademy.in/Blindfold-Activation-Benefits.html","text/html","200","OK","Non-Indexable","noindex","Welcome to Mid Brain Academy","28","282","","0","0","","0","Blindfold Activation Benefits","29","","0","","0","noindex, nofollow","","","","","","","","49829","949","17.513","1","","212","72","39.560","91","62","5","5","","","","","fc6c0fe866d2e94c8a60a75f0383d3d8","0.921","Sun, 15 Mar 2020 14:44:30 GMT","","","https://www.midbrainacademy.in/Blindfold-Activation-Benefits.html"
"https://www.midbrainacademy.in/midbrain-activation-franchise-in-madhya-pradesh.html","text/html","200","OK","Indexable","","Midbrian Activation Franchise Cost in Madhya Pradesh","52","478","We offer the huge opportunity to the people from Madhya Pradesh to open their own midbrain activation academy franchise at very low prices. Call 9256893044 Rajmin Academy now.","175","1148","","0","MIDBRAIN ACTIVATION FRANCHISE MADHYA PRADESH","44","MIDBRAIN ACTIVATION FRANCHISE MADHYA PRADESH","44","What we provide?","16","index, dofollow","","","","","","","","42857","505","13.884","1","","76","72","39.560","91","60","5","5","","","","","91e79c39a36b118386b47f5c665fd610","0.963","Sun, 15 Mar 2020 14:22:48 GMT","","","https://www.midbrainacademy.in/midbrain-activation-franchise-in-madhya-pradesh.html"
